fixture_key	record_index	game_A	game_D	game_winner	game_rounds	initial_A	initial_D	max_rounds	deterministic	sim_n	score_mean	score_sd	p	sim_A_first	sim_D_first	sim_first_round	sim_first_winner	score_error_if_deterministic	A_error_if_deterministic	D_error_if_deterministic	round_error_if_known	sim_score_at_or_below_game	sim_score_at_or_above_game	sim_exact_sides	sim_exact_sides_and_known_round
testcases/gatot_verified/s1-4900-vs-1000.json#0	0	4897	996	draw	1500	4900	1000	1500	True	1	3901	0		4897	996	1500	draw	0	0	0	0	1	1	1	1
testcases/gatot_verified/s1-4950-vs-1000.json#0	0	4947	855	draw	1500	4950	1000	1500	True	1	4085	0		4947	862	1500	draw	-7	0	7	0	1	0	0	0
testcases/gatot_verified/s1-5000-vs-1000.json#0	0	4997	513	draw	1500	5000	1000	1500	True	1	4475	0		4997	522	1500	draw	-9	0	9	0	1	0	0	0
testcases/gatot_verified/s1-5050-vs-1000.json#0	0	5047	74	draw	1500	5050	1000	1500	True	1	4959	0		5047	88	1500	draw	-14	0	14	0	1	0	0	0
testcases/gatot_verified/s10-bradley-1000-inf-125-marksman-vs-5000-inf.json#0	0	0	2296	defender	875	1125	5000	1500	True	1	-2274	0		0	2274	881	defender	22	0	-22	6	0	1	0	0
testcases/gatot_verified/s15.2-secondary-heroes-1000-inf-125-lancer-125-marksman.json#0	0	851	0	attacker	366	1250	5000	1500	True	1	834	0		834	0	376	attacker	-17	-17	0	10	1	0	0	0
testcases/gatot_verified/s15.3-1000-inf-0-lancer-1000-marksman.json#0	0	0	4491	defender	278	2000	5000	1500	True	1	-4488	0		0	4488	278	defender	3	0	-3	0	0	1	0	0
testcases/gatot_verified/s15.3-1000-inf-1000-lancer-0-marksman.json#0	0	0	4973	defender	266	2000	5000	1500	True	1	-4972	0		0	4972	266	defender	1	0	-1	0	0	1	0	0
testcases/gatot_verified/s15.3-1000-inf-1000-lancer-1000-marksman.json#0	0	0	3064	defender	238	3000	5000	1500	True	1	-3054	0		0	3054	239	defender	10	0	-10	1	0	1	0	0
testcases/gatot_verified/s15.3-2000-inf-0-lancer-1000-marksman.json#0	0	1281	0	attacker	907	3000	5000	1500	True	1	1327	0		1327	0	898	attacker	46	46	0	-9	0	1	0	0
testcases/gatot_verified/s15.3-2000-inf-1000-lancer-0-marksman.json#0	0	0	4338	defender	545	3000	5000	1500	True	1	-4334	0		0	4334	546	defender	4	0	-4	1	0	1	0	0
testcases/gatot_verified/s16-1500-inf-1500-marksman-vs-1000-inf.json#0	0	2777	0	attacker		3000	1000	1500	True	1	2777	0		2777	0	74	attacker	0	0	0		1	1	1	1
testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-1000-inf.json#0	0	3809	0	attacker		4000	1000	1500	True	1	3809	0		3809	0	63	attacker	0	0	0		1	1	1	1
testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-5000-inf.json#0	0	396	0	attacker		4000	5000	1500	True	1	394	0		394	0	196	attacker	-2	-2	0		1	0	0	0
testcases/gatot_verified/s16-7500-inf-vs-5000-inf.json#0	0	0	2513	defender		7500	5000	1500	True	1	-2514	0		0	2514	406	defender	-1	0	1		1	0	0	0
testcases/gatot_verified/s2-health-1.1-4950-vs-1000.json#0	0	4947	904	draw	1500	4950	1000	1500	True	1	4038	0		4947	909	1500	draw	-5	0	5	0	1	0	0	0
testcases/gatot_verified/s2-health-1.1-5000-vs-1000.json#0	0	4997	670	draw	1500	5000	1000	1500	True	1	4321	0		4997	676	1500	draw	-6	0	6	0	1	0	0	0
testcases/gatot_verified/s2-health-1.1-5050-vs-1000.json#0	0	5047	406	draw	1500	5050	1000	1500	True	1	4634	0		5047	413	1500	draw	-7	0	7	0	1	0	0	0
testcases/gatot_verified/s2-health-1.1-5100-vs-1000.json#0	0	5097	80	draw	1500	5100	1000	1500	True	1	5007	0		5097	90	1500	draw	-10	0	10	0	1	0	0	0
testcases/gatot_verified/s2-health-1.1-5150-vs-1000.json#0	0	5147	0	attacker		5150	1000	1500	True	1	5147	0		5147	0	1414	attacker	0	0	0		1	1	1	1
testcases/gatot_verified/s25-1000-inf-3000-marksman-vs-5000-inf.json#0	0	0	2110	defender	109	4000	5000	1500	True	1	-2111	0		0	2111	109	defender	-1	0	1	0	1	0	0	0
testcases/gatot_verified/s25-2000-inf-2000-marksman-vs-2000-inf.json#0	0	3441	0	attacker	92	4000	2000	1500	True	1	3440	0		3440	0	92	attacker	-1	-1	0	0	1	0	0	0
testcases/gatot_verified/s25-2000-inf-2000-marksman-vs-3000-inf.json#0	0	2959	0	attacker	115	4000	3000	1500	True	1	2959	0		2959	0	115	attacker	0	0	0	0	1	1	1	1
testcases/gatot_verified/s25-2000-inf-2000-marksman-vs-4000-inf.json#0	0	2365	0	attacker	136	4000	4000	1500	True	1	2365	0		2365	0	136	attacker	0	0	0	0	1	1	1	1
testcases/gatot_verified/s25-3000-inf-1000-marksman-vs-5000-inf.json#0	0	554	0	attacker	241	4000	5000	1500	True	1	552	0		552	0	241	attacker	-2	-2	0	0	1	0	0	0
testcases/gatot_verified/s3-5000-inf-vs-1000-inf-10-lancer.json#0	0	4573	0	attacker	1151	5000	1010	1500	True	1	4996	0		4996	0	1037	attacker	423	423	0	-114	0	1	0	0
testcases/gatot_verified/s31-current-2000-inf-2000-marksman-vs-5000-inf.json#0	0	2291	0	attacker	148	4000	5000	1500	True	1	2290	0		2290	0	148	attacker	-1	-1	0	0	1	0	0	0
testcases/gatot_verified/s32-current-750-marksman-wayne-vs-3000-inf.json#0	0	0	2738	defender		750	3000	1500	True	1	-2738	0		0	2738	43	defender	0	0	0		1	1	1	1
testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	0	0	4977	defender		500	5000	1500	False	500	-4972.116	4.5426661368916985	0.360982	0	4977	16	defender					78	444	22	22
testcases/gatot_verified/s34-current-2100-lancer-2100-marksman-vs-1100-gatot3-inf.json#0	0	0	236	defender	179	4200	1100	1500	True	1	-236	0		0	236	179	defender	0	0	0	0	1	1	1	1
testcases/gatot_verified/s35-current-3000-lancer-1000-marksman-vs-1100-gatot3-inf.json#0	0	0	314	defender	167	4000	1100	1500	True	1	-314	0		0	314	167	defender	0	0	0	0	1	1	1	1
